***	PUNCT


	SPACE
不	ADV
知何	VERB
故兮	NOUN
使	VERB
我	PRON
神經	NOUN
衰弱	VERB
。	PUNCT


	SPACE
我	PRON
的	PART
所愛	NOUN
在	VERB
豪家	NOUN
；	PUNCT


	SPACE
想	VERB
去	VERB
尋	VERB
她	PRON
兮沒	ADV
有	VERB
汽車	NOUN
，	PUNCT


	SPACE
搖頭	VERB
無法	ADV
淚	NOUN
如麻	VERB
。	PUNCT


	SPACE
愛人	NOUN
贈	VERB
我	PRON
玫瑰花	NOUN
；	PUNCT


	SPACE
回	VERB
她	PRON
什麼	PRON
：	PUNCT
赤練蛇	NOUN
。	PUNCT


	SPACE
從此	ADV
翻臉	VERB
不理	VERB
我	PRON
，	PUNCT


	SPACE
不	ADV
知何	VERB
故兮	NOUN
——	PUNCT
由	ADP
她	PRON
去	VERB
罷	PART
。	PUNCT


	SPACE
復仇	VERB


	SPACE
人	NOUN
的	PART
皮膚	NOUN
之	PART
厚	NOUN
，	PUNCT
大概	ADV
不	ADV
到	VERB
半分	NUM
，	PUNCT
鮮紅	ADJ
的	PART
熱血	NOUN
，	PUNCT
就	ADV
循著	VERB
那	DET
後面	NOUN
，	PUNCT
在	ADP
比	ADP
密密	ADJ
層層	NOUN
地	PART
爬	VERB
在	ADP
椈	NOUN

	SPACE
上	PART
的	PART
槐蠶	NOUN
更	ADV
其密	ADJ
的	PART
血管堜	NOUN
b流	NOUN
，	PUNCT
散出	VERB
溫熱	NOUN
。	PUNCT
於是	ADV
各	ADV
以	ADP
這溫	DET
熱	NOUN
互相	ADV
蠱惑	VERB
，	PUNCT
煽動	VERB
，	PUNCT
牽引	VERB
，	PUNCT
拼	VERB

	SPACE
命	ADJ
希求	VERB
偎倚	VERB
，	PUNCT
接吻	VERB
，	PUNCT
擁抱	VERB
，	PUNCT
以	PART
得	VERB
生命	NOUN
的	PART
沉酣	ADJ
的	PART
大歡喜	NOUN
。	PUNCT


	SPACE
但	ADV
倘若	SCONJ
用	VERB
一	NUM
柄	NUM
尖銳	VERB
的	PART
利刃	NOUN
，	PUNCT
衹	ADV
一	ADV
擊	VERB
，	PUNCT
穿	VERB
透這	VERB
桃紅色	NOUN
的	PART
，	PUNCT
菲薄	PROPN
的	PART
皮膚	NOUN
，	PUNCT
將見	ADV
那	DET
鮮紅	ADJ
的	PART
熱血	NOUN

	SPACE
激箭	NOUN
似的	ADV
以	ADP
所有	DET
溫熱	NOUN
直接	ADV
灌溉	VERB
殺戮者	NOUN
；	PUNCT
其次	ADV
，	PUNCT
則給	ADV
以	ADP
冰冷	VERB
的	PART
呼吸	NOUN
，	PUNCT
示以	VERB
淡白	VERB
的	PART
嘴唇	NOUN
，	PUNCT
使	VERB

	SPACE
之	PRON
人性	NOUN
茫然	VERB
，	PUNCT
得到	VERB
生命	NOUN
的	PART
飛揚	NOUN
的	PART
極致	ADJ
的	PART
大	ADJ
歡喜	NOUN
；	PUNCT
而	ADV
其	PRON
自身	PRON
，	PUNCT
則永遠	VERB
沉浸	VERB
於	ADP
生命	NOUN
的	PART
飛揚	NOUN
的	PART

	SPACE
極致	ADJ
的	PART
大歡	NOUN
喜中	NOUN
。	PUNCT


	SPACE
這樣	PRON
，	PUNCT
所以	ADV
，	PUNCT
有	VERB
他	PRON
們倆	PRON
裸著	VERB
全身	NOUN
，	PUNCT
捏著	VERB
利刃	NOUN
，	PUNCT
對立	VERB
於	ADP
廣漠	ADJ
的	PART
曠野	NOUN
之上	PART
。	PUNCT


	SPACE
他	PRON
們倆	PRON
將	ADV
要	VERB
擁抱	VERB
，	PUNCT
將要	ADV
殺戮	VERB
……	PUNCT


	SPACE
路人	NOUN
們從	PRON
四面	ADV
奔來	VERB
，	PUNCT
密密層層地	VERB
，	PUNCT
如	ADP
槐蠶	NOUN
爬上	VERB
椈嚏	PUNCT
A如	PUNCT
馬蟻	NOUN
要	VERB
扛	VERB
鯗頭	PUNCT
。	PUNCT
衣服	NOUN
都	ADV
漂亮	VERB
，	PUNCT
手	NOUN

	SPACE
倒空	VERB
的	PART
。	PUNCT
然而	ADV
從四	ADP
面	NOUN
奔來	VERB
，	PUNCT
而且	ADV
拼命	VERB
地	PART
伸長	VERB
脖子	NOUN
，	PUNCT
要	VERB
賞	VERB
鑒這	VERB
擁抱	VERB
或	CCONJ
殺戮	VERB
。	PUNCT
他們	PRON
已	ADV
經預	ADV
覺	VERB

	SPACE
著事	VERB
後	PART
自己	PRON
的	PART
舌上	NOUN
的	PART
汗	NOUN
或	CCONJ
血	NOUN
的	PART
鮮味	NOUN
。	PUNCT


	SPACE
然而	ADV
他	PRON
們倆	ADV
對	ADP
立著	VERB
，	PUNCT
在	ADP
廣漠	ADJ
的	PART
曠野	NOUN
之上	PART
，	PUNCT
裸著	VERB
全身	NOUN
，	PUNCT
捏著	VERB
利刃	NOUN
，	PUNCT
然而	ADV
也	ADV
不	ADV
擁抱	VERB
，	PUNCT
也	ADV
不	ADV
殺	VERB

	SPACE
戮	VERB
，	PUNCT
而且	ADV
也	ADV
不	ADV
見	VERB
有	VERB
擁抱	VERB
或	CCONJ
殺戮	VERB
之	PART
意	NOUN
。	PUNCT


	SPACE
他	PRON
們倆	PRON
這樣	PRON
地	PART
至於	VERB
永久	VERB
，	PUNCT
圓活	VERB
的	PART
身體	NOUN
，	PUNCT
已	ADV
將	ADV
幹枯	VERB
，	PUNCT
然而	ADV
毫不	ADV
見有	VERB
擁抱	VERB
或	CCONJ
殺戮	VERB
之	PART
意	NOUN
。	PUNCT


	SPACE
路人	NOUN
們於	VERB
是	VERB
乎無聊	VERB
；	PUNCT
覺	VERB
得	VERB
有	VERB
無聊	ADV
鑽進	VERB
他們	PRON
的	PART
毛孔	NOUN
，	PUNCT
覺	VERB
得	VERB
有	VERB
無	VERB
聊從	VERB
他們	PRON
自己	PRON
的	PART
心中	NOUN
由	ADP
毛孔	NOUN

	SPACE
鑽出	VERB
，	PUNCT
爬滿	VERB
曠野	NOUN
，	PUNCT
又	ADV
鑽進	VERB
別人	NOUN
的	PART
毛孔	NOUN
中	PART
。	PUNCT
他	PRON
們於	PRON
是	VERB
覺	VERB
得	VERB
喉舌	NOUN
幹燥	VERB
，	PUNCT
脖子	NOUN
也	ADV
乏	VERB
了	PART
；	PUNCT
終至	ADV
於	ADP

	SPACE
面面	NOUN
相覷	VERB
，	PUNCT
慢慢	ADV
走散	VERB
；	PUNCT
甚而	ADV
至於	ADV
居然	ADV
覺	VERB
得	VERB
幹枯	VERB
到失	VERB
了	PART
生趣	NOUN
。	PUNCT


	SPACE
於是	ADV
衹	ADV
剩下	VERB
廣漠	ADJ
的	PART
曠野	NOUN
，	PUNCT
而	ADV
他	PRON
們倆	PRON
在	ADP
其	PRON
間裸	VERB
著	PART
全身	NOUN
，	PUNCT
捏著	VERB
利刃	NOUN
，	PUNCT
幹枯	VERB
地	PART
立著	VERB
；	PUNCT
以	ADP
死人	NOUN
似	VERB

	SPACE
的	PART
眼光	NOUN
，	PUNCT
賞鑒	VERB
這路	PRON
人們	NOUN
的	PART
幹枯	NOUN
，	PUNCT
無血	ADJ
的	PART
大戮	NOUN
，	PUNCT
而	ADV
永遠	ADV
沉浸	VERB
於	ADP
生命	NOUN
的	PART
飛揚	NOUN
的	PART
極致	ADJ
的	PART
大歡	NOUN
喜	NOUN

	SPACE
中	PART
。	PUNCT


	SPACE
復仇	VERB
(	PUNCT
其二	NOUN
)	PUNCT


	SPACE
因為	ADP
他	PRON
自以	VERB
為神之子	VERB
，	PUNCT
以色列	PROPN
的	PART
王	NOUN
，	PUNCT
所以	ADV
去	VERB
釘	VERB
十字架	NOUN
。	PUNCT


	SPACE
兵丁	NOUN
們給	VERB
他	PRON
穿上	VERB
紫袍	NOUN
，	PUNCT
戴上	VERB
荊冠	NOUN
，	PUNCT
慶賀	VERB
他	PRON
；	PUNCT
又	ADV
拿	VERB
一	NUM
根	NUM
葦子	NOUN
打	VERB
他	PRON
的	PART
頭	NOUN
，	PUNCT
吐	VERB
他	PRON
，	PUNCT
屈膝	ADV
拜	VERB
他	PRON
；	PUNCT

	SPACE
戲弄	VERB
完了	VERB
，	PUNCT
就	ADV
給	ADP
他	PRON
脫	VERB
了	PART
紫袍	NOUN
，	PUNCT
仍	ADV
穿	VERB
他	PRON
自己	PRON
的	PART
衣服	NOUN
。	PUNCT


	SPACE
看	VERB
哪	PART
，	PUNCT
他	PRON
們打	VERB
他	PRON
的	PART
頭	NOUN
，	PUNCT
吐	VERB
他	PRON
，	PUNCT
拜	VERB
他	PRON
……	PUNCT


	SPACE
他	PRON
不	ADV
肯	VERB
喝	VERB
那	DET
用	VERB
沒藥調	NOUN
和	VERB
的	PART
酒	NOUN
，	PUNCT
要	VERB
分明	VERB
地	PART
玩味	VERB
以色列人	NOUN
怎樣	ADV
對付	VERB
他們	PRON
的	PART
神之子	NOUN
，	PUNCT
而且	ADV
較永	VERB

	SPACE
久地	ADV
悲憫	VERB
他們	PRON
的	PART
前途	NOUN
，	PUNCT
然而	ADV
仇恨	VERB
他們	PRON
的	PART
現在	NOUN
。	PUNCT


	SPACE
四面	NOUN
都	ADV
是	VERB
敵意	NOUN
，	PUNCT
可	ADV
悲憫	VERB
的	PART
，	PUNCT
可	VERB
咒詛	VERB
的	PART
。	PUNCT


	SPACE
丁丁	PROPN
地	PART
想	VERB
，	PUNCT
釘尖	NOUN
從	ADP
掌心	NOUN
穿透	VERB
，	PUNCT
他	PRON
們要	ADV
釘殺	VERB
他們	PRON
的	PART
神	NOUN
之	PART
子	NOUN
了	PART
；	PUNCT
可憫	VERB
的	PART
人	NOUN
們呵	ADV
，	PUNCT
使	VERB
他	PRON
痛得	VERB
柔	VERB

	SPACE
和	VERB
。	PUNCT
丁丁	PROPN
地	PART
想	VERB
，	PUNCT
釘尖	NOUN
從腳	ADV
背	NOUN
穿透	VERB
，	PUNCT
釘碎	VERB
了	PART
一	NUM
塊	NUM
骨	NOUN
，	PUNCT
痛楚	NOUN
也	ADV
透到	VERB
心髓	NOUN
中	PART
，	PUNCT
然而	ADV
他	PRON
們釘	ADV
殺著	VERB

	SPACE
他們	PRON
的	PART
神	NOUN
之	PART
子	NOUN
了	PART
，	PUNCT
可	ADV
咒詛	VERB
的	PART
人	NOUN
們呵	ADV
，	PUNCT
這使	ADV
他	PRON
痛	VERB
得	PART
舒服	VERB
。	PUNCT


	SPACE
十字架	NOUN
豎起	VERB
來	VERB
了	PART
；	PUNCT
他	PRON
懸	VERB
在	ADP
虛空	NOUN
中	PART
。	PUNCT


	SPACE
他	PRON
沒有	ADV
喝	VERB
那	DET
用	VERB
沒藥調	NOUN
和	VERB
的	PART
酒	NOUN
，	PUNCT
要	VERB
分明	VERB
地	PART
玩味	VERB
以色列人	NOUN
怎樣	ADV
對付	VERB
他們	PRON
的	PART
神之子	NOUN
，	PUNCT
而且	ADV
較永	VERB

	SPACE
久地	ADV
悲憫	VERB
他們	PRON
的	PART
前途	NOUN
，	PUNCT
然而	ADV
仇恨	VERB
他們	PRON
的	PART
現在	NOUN
。	PUNCT


	SPACE
路人	NOUN
都	ADV
辱罵	VERB
他	PRON
，	PUNCT
祭	NOUN
司長	NOUN
和	CCONJ
文士	NOUN
也	ADV
戲弄	VERB
他	PRON
，	PUNCT
和	ADP
他	PRON
同釘	VERB
的	PART
兩個	NUM
強盜	NOUN
也	ADV
譏誚	VERB
他	PRON
。	PUNCT


	SPACE
看	VERB
哪	PART
，	PUNCT
和	ADP
他	PRON
同釘	VERB
的	PART
……	PUNCT


	SPACE
四面	NOUN
都	ADV
是	VERB
敵意	NOUN
，	PUNCT
可	VERB
悲憫	VERB
的	PART
，	PUNCT
可	VERB
咒詛	VERB
的	PART
。	PUNCT


	SPACE
他	PRON
在	ADP
手足	VERB
的	PART
痛楚	NOUN
中	PART
，	PUNCT
玩味	VERB
著	PART
可憫	ADJ
的	PART
人們	NOUN
的	PART
釘殺神之子	VERB
的	PART
悲哀	NOUN
和	CCONJ
可	VERB
咒詛	VERB
的	PART
人	NOUN
們	PRON
要	VERB
釘	VERB
殺神	VERB
之	PART

	SPACE
子	NOUN
，	PUNCT
而	ADV
神之子	NOUN
就要	VERB
被	X
釘殺	VERB
了	PART
的	PART
歡喜	NOUN
。	PUNCT
突然	ADV
間	ADV
，	PUNCT
碎骨	NOUN
的	PART
大	ADJ
痛楚	NOUN
透到	VERB
心髓	NOUN
了	PART
，	PUNCT
他	PRON
即	ADV
沉酣	VERB
於	ADP
大	ADJ

	SPACE
歡喜	NOUN
和	CCONJ
大	ADJ
悲憫	NOUN
中	PART
。	PUNCT


	SPACE
他	PRON
腹部	NOUN
波動	VERB
了	PART
，	PUNCT
悲憫	NOUN
和	CCONJ
咒詛	NOUN
的	PART
痛楚	NOUN
的	PART
波	NOUN
。	PUNCT


	SPACE
遍地	ADV
都	ADV
黑暗	VERB
了	PART
。	PUNCT


	SPACE
“	PUNCT
以	ADP
羅伊	PROPN
，	PUNCT
以	ADP
羅伊	PROPN
，	PUNCT
拉馬	PROPN
撒巴	VERB
各	DET
大尼	NOUN
？	PUNCT
！	PUNCT
”	PUNCT
〔翻	PUNCT
出來	VERB
，	PUNCT
就是	ADV
：	PUNCT
我	PRON
的	PART
上帝	PROPN
，	PUNCT
你	PRON
為甚	ADV
麼離	ADV
棄	VERB

	SPACE
我	PRON
？	PUNCT
！	PUNCT
〕	PUNCT


	SPACE
上帝	PROPN
離棄	VERB
了	PART
他	PRON
，	PUNCT
他	PRON
終	ADV
於還	ADV
是	VERB
一	NUM
個	NUM
“	PUNCT
人	NOUN
之	PART
子	NOUN
”	PUNCT
；	PUNCT
然而	ADV
以色列人	NOUN
連	ADV
“	PUNCT
人	NOUN
之	PART
子	NOUN
”	PUNCT
都	ADV
釘殺	VERB
了	PART
。	PUNCT


	SPACE
釘殺	VERB
了	PART
“	PUNCT
人	NOUN
之	PART
子	NOUN
”	PUNCT
的	PART
人	NOUN
們身	NOUN
上	PART
，	PUNCT
比	ADP
釘殺	VERB
了	PART
“	PUNCT
神之子	NOUN
”	PUNCT
的	PART
尤其	ADV
血污	NOUN
，	PUNCT
血腥	NOUN
。	PUNCT


	SPACE
希望	VERB


	SPACE
我	PRON
的	PART
心分	NOUN
外地	NOUN
寂寞	VERB
。	PUNCT


	SPACE
然而	ADV
我	PRON
的	PART
心	NOUN
很	ADV
平安	VERB
；	PUNCT
沒有	VERB
愛憎	NOUN
，	PUNCT
沒有	VERB
哀樂	NOUN
，	PUNCT
也	ADV
沒有	VERB
顏色	NOUN
和	CCONJ
聲音	NOUN
。	PUNCT


	SPACE
我	PRON
大概	ADV
老	VERB
了	PART
。	PUNCT
我	PRON
的	PART
頭髮	NOUN
已	ADV
經	ADV
蒼白	VERB
，	PUNCT
不是	ADV
很	ADV
明白	ADJ
的	PART
事麼	NOUN
？	PUNCT
我	PRON
的	PART
手顫	NOUN
抖著	VERB
，	PUNCT
不是	VERB
很	ADV
明白	ADJ
的	PART
事	NOUN

	SPACE
麼	PART
？	PUNCT
那	ADV
麼	ADV
我	PRON
的	PART
靈魂	NOUN
的	PART
手	NOUN
一定	ADV
也	ADV
顫	VERB
抖著	VERB
，	PUNCT
頭髮	NOUN
也	ADV
一定	ADV
蒼白	VERB
了	PART
。	PUNCT


	SPACE
然而	ADV
這	PRON
是	VERB
許多	NUM
年前	NOUN
的	PART
事	NOUN
了	PART
。	PUNCT


	SPACE
這	PRON
以前	ADV
，	PUNCT
我	PRON
的	PART
心	NOUN
也	ADV
曾	ADV
充滿	VERB
過	PART
血腥	ADJ
的	PART
歌聲	NOUN
：	PUNCT
血	NOUN
和	CCONJ
鐵	NOUN
，	PUNCT
火焰	NOUN
和	CCONJ
毒	NOUN
，	PUNCT
恢復	NOUN
和	CCONJ
報仇	NOUN
。	PUNCT
而	ADV
忽然	ADV
這些	PRON

	SPACE
都	ADV
空虛	VERB
了	PART
，	PUNCT
但	ADV
有	ADV
時	ADV
故意	ADV
地	PART
填	VERB
以	ADP
沒奈何	VERB
的	PART
自欺	NOUN
的	PART
希望	NOUN
。	PUNCT
希望	NOUN
，	PUNCT
希望	VERB
，	PUNCT
用	ADP
這	DET
希望	NOUN
的	PART
盾	NOUN
，	PUNCT
抗拒	VERB

	SPACE
那	DET
空虛	NOUN
中	PART
的	PART
暗夜	NOUN
的	PART
襲來	NOUN
，	PUNCT
雖然	SCONJ
盾	NOUN
後面	PART
也	ADV
依然	ADV
是	VERB
空虛	NOUN
中	PART
的	PART
暗夜	NOUN
。	PUNCT
然而	ADV
就是	ADV
如此	VERB
，	PUNCT
陸續	ADV
地	PART
耗	VERB

	SPACE
盡	VERB
了	PART
我	PRON
的	PART
青春	NOUN
。	PUNCT


	SPACE
我	PRON
早先	ADV
豈	ADV
不知	VERB
我	PRON
的	PART
青春	NOUN
已	ADV
經逝	ADV
去	VERB
？	PUNCT
但	ADV
以	ADP
為身	NOUN
外	PART
的	PART
青春固	NOUN
在	VERB
：	PUNCT
星	NOUN
，	PUNCT
月光	NOUN
，	PUNCT
僵墜	ADJ
的	PART
蝴蝶	NOUN
，	PUNCT
暗	NOUN

	SPACE
中	PART
的	PART
花	NOUN
，	PUNCT
貓	NOUN
頭鷹	NOUN
的	PART
不祥	VERB
之	PART
言	NOUN
，	PUNCT
杜鵑	VERB
的	PART
啼血	NOUN
，	PUNCT
笑	VERB
的	PART
渺茫	VERB
，	PUNCT
愛	NOUN
的	PART
翔舞	NOUN
。	PUNCT
……	PUNCT
雖然	SCONJ
是	VERB
悲涼	VERB
漂渺	VERB

	SPACE
的	PART
青春罷	NOUN
，	PUNCT
然而	ADV
究竟	ADV
是	VERB
青春	NOUN
。	PUNCT


	SPACE
然而	ADV
現	NOUN
在	NOUN
何以	ADV
如此	ADV
寂寞	VERB
？	PUNCT
難道	ADV
連身	NOUN
外	PART
的	PART
青春	NOUN
也	ADV
都	ADV
逝去	VERB
，	PUNCT
世上	NOUN
的	PART
青年	NOUN
也	ADV
多	ADV
衰老	VERB
了	PART
麼	PART
？	PUNCT


	SPACE
我	PRON
衹	ADV
得	VERB
由	ADP
我	PRON
來肉	VERB
薄這	ADJ
空虛	NOUN
中	PART
的	PART
暗夜	NOUN
了	PART
。	PUNCT
我	PRON
放下	VERB
了	PART
希望	NOUN
之	PART
盾	NOUN
，	PUNCT
我	PRON
聽到	VERB
Pe	PROPN
to	ADP
fi	PROPN
Sandor(	PUNCT
1823	NUM
-	PUNCT
49	NUM
)	PUNCT

	SPACE
的	PART
“	PUNCT
希望	NOUN
”	PUNCT
之	PART
歌	NOUN
：	PUNCT


	SPACE
希望	NOUN
是	VERB
什麼	PRON
？	PUNCT
是	VERB
娼妓	NOUN
：	PUNCT


	SPACE
她	PRON
對誰	ADP
都	ADV
蠱惑	VERB
，	PUNCT
將	X
一切	PRON
都	ADV
獻給	VERB
；	PUNCT


	SPACE
待	ADP
你	PRON
犧牲	VERB
了	PART
極	ADV
多	NUM
的	PART
寶貝	NOUN
——	PUNCT


	SPACE
你	PRON
的	PART
青春	NOUN
——	PUNCT
她	PRON
就	ADV
拋棄	VERB
你	PRON
。	PUNCT


	SPACE
這偉	PRON
大	ADJ
的	PART
抒情	NOUN
詩人	NOUN
，	PUNCT
匈牙利	PROPN
的	PART
愛國者	NOUN
，	PUNCT
為	ADP
了	ADP
祖國	NOUN
而	PART
死	VERB
在	ADP
可薩克兵	VERB
的	PART
矛尖	NOUN
上	PART
，	PUNCT
已	ADV
經	ADV
七十五	NUM

	SPACE
年	NUM
了	PART
。	PUNCT
悲哉	VERB
死	VERB
也	PART
，	PUNCT
然而	ADV
更	ADV
可悲	VERB
的	PART
是	VERB
他	PRON
的	PART
詩至	NOUN
今沒	NOUN
有	VERB
死	NOUN
。	PUNCT


	SPACE
但是	ADV
，	PUNCT
可慘	ADJ
的	PART
人生	NOUN
！	PUNCT
桀驁	NOUN
英勇	VERB
如	VERB
Peto	PROPN
fi	NOUN
，	PUNCT
也	ADV
終	ADV
於對	VERB
了	PART
暗夜	NOUN
止步	VERB
，	PUNCT
回顧	VERB
茫茫	VERB
的	PART
東方	NOUN
了	PART
。	PUNCT
他	PRON
說	VERB

	SPACE
：	PUNCT


	SPACE
絕望	NOUN
之	PRON
為	VERB
虛妄	VERB
，	PUNCT
正與	ADJ
希望	NOUN
相同	VERB
。	PUNCT


	SPACE
倘使	SCONJ
我	PRON
還	ADV
得	VERB
偷生	VERB
在	ADP
不明不暗	VERB
的	PART
這	DET
“	PUNCT
虛妄	NOUN
”	PUNCT
中	PART
，	PUNCT
我	PRON
就	ADV
還	ADV
要	VERB
尋求	VERB
那	DET
逝去	VERB
的	PART
悲涼	VERB
漂渺	VERB
的	PART
青春	NOUN
，	PUNCT

	SPACE
但	ADV
不妨	ADV
在	VERB
我	PRON
的	PART
身外	NOUN
。	PUNCT
因為	ADP
身外	NOUN
的	PART
青春倘	NOUN
一	ADV
消滅	VERB
，	PUNCT
我	PRON
身	NOUN
中	PART
的	PART
遲暮	NOUN
也	ADV
即凋	ADV
零	NUM
了	PART
。	PUNCT


	SPACE
然而	ADV
現	NOUN
在	NOUN
沒有星	VERB
和	CCONJ
月光	NOUN
，	PUNCT
沒有	VERB
僵墜	ADJ
的	PART
蝴蝶	NOUN
以	CCONJ
至笑	VERB
的	PART
渺茫	ADJ
，	PUNCT
愛	NOUN
的	PART
翔舞	NOUN
。	PUNCT
然而	ADV
青年	NOUN
們	PRON
很	ADV
平安	VERB

	SPACE
。	PUNCT


	SPACE
我	PRON
衹	ADV
得	VERB
由	ADP
我	PRON
來肉	VERB
薄這	VERB
空虛	NOUN
中	PART
的	PART
暗夜	NOUN
了	PART
，	PUNCT
縱使	SCONJ
尋	VERB
不	ADV
到	VERB
身外	NOUN
的	PART
青春	NOUN
，	PUNCT
也	ADV
總	ADV
得	VERB
自己	PRON
來	VERB
一	ADV
擲	VERB
我	PRON
身	NOUN

	SPACE
中	PART
的	PART
遲暮	NOUN
。	PUNCT
但	ADV
暗夜	NOUN
又	ADV
在	VERB
那	PRON
裡	PRON
呢	PART
？	PUNCT
現	NOUN
在	NOUN
沒	ADV
有星	VERB
，	PUNCT
沒有	VERB
月光以	NOUN
至沒	ADV
有	VERB
笑	NOUN
的	PART
渺茫	NOUN
和	CCONJ
愛	NOUN
的	PART
翔舞	NOUN
；	PUNCT

	SPACE
青年	NOUN
們	NOUN
很	ADV
平安	VERB
，	PUNCT
而	ADV
我	PRON
的	PART
面前	NOUN
又	ADV
竟	ADV
至	ADV
於並	VERB
且沒	VERB
有	VERB
真的	ADJ
暗夜	NOUN
。	PUNCT


	SPACE
絕望	NOUN
之	PRON
為	VERB
虛妄	VERB
，	PUNCT
正與	ADV
希望	NOUN
相同	VERB
！	PUNCT


	SPACE
雪	NOUN


	SPACE
暖國	VERB
的	PART
雨	NOUN
，	PUNCT
向	ADP
來沒	NOUN
有	VERB
變過	ADV
冰冷	VERB
的	PART
堅硬	ADJ
的	PART
燦爛	ADJ
的	PART
雪花	NOUN
。	PUNCT
博識	VERB
的	PART
人	NOUN
們覺	VERB
得	VERB
他	PRON
單調	VERB
，	PUNCT
他	PRON
自己	PRON
也	ADV

	SPACE
以為	VERB
不幸	ADV
否耶	VERB
？	PUNCT
江南	NOUN
的	PART
雪	NOUN
，	PUNCT
可是	ADV
滋潤	VERB
美豔	VERB
之	PART
至	NOUN
了	PART
；	PUNCT
那	PRON
是	VERB
還	ADV
在	VERB
隱	VERB
約著	ADV
的	PART
青春	NOUN
的	PART
消息	NOUN
，	PUNCT
是	VERB
極	ADV

	SPACE
壯健	VERB
的	PART
處子	NOUN
的	PART
皮膚	NOUN
。	PUNCT
雪野	NOUN
中	PART
有	VERB
血紅	NOUN
的	PART
寶珠山	PROPN
茶	NOUN
，	PUNCT
白	NOUN
中	PART
隱青	VERB
的	PART
單瓣	ADJ
梅花	NOUN
，	PUNCT
深黃	VERB
的	PART
磬口	NOUN
的	PART
蠟	ADJ

	SPACE
梅花	NOUN
；	PUNCT
雪下	NOUN
麵還	NOUN
有	VERB
冷綠	VERB
的	PART
雜草	NOUN
。	PUNCT
蝴蝶	NOUN
確乎	ADV
沒有	VERB
；	PUNCT
蜜蜂	NOUN
是否	ADV
來採	VERB
山茶花	NOUN
和	CCONJ
梅花	NOUN
的	PART
蜜	NOUN
，	PUNCT
我	PRON
可	ADV

	SPACE
記	VERB
不	ADV
真切	VERB
了	PART
。	PUNCT
但	ADV
我	PRON
的	PART
眼前	NOUN
仿佛	ADV
看	VERB
見冬	VERB
花開	NOUN
在	ADP
雪野	NOUN
中	PART
，	PUNCT
有	VERB
許	NUM
多	NUM
蜜	NOUN
蜂們	NOUN
忙碌	VERB
地	PART
飛著	VERB
，	PUNCT
也	ADV
聽	VERB
得	PART

	SPACE
他	PRON
們嗡	PRON
嗡地	ADV
鬧著	VERB
。	PUNCT


	SPACE
孩子	NOUN
們呵	NOUN
著凍	VERB
得	PART
通紅	VERB
，	PUNCT
象	ADP
紫芽薑	PROPN
一般	VERB
的	PART
小手	NOUN
，	PUNCT
七八	NUM
個	NUM
一	ADV
齊	ADV
來	VERB
塑雪	VERB
羅漢	NOUN
。	PUNCT
因為	ADP
不	ADV
成功	VERB
，	PUNCT
誰	PRON

	SPACE
的	PART
父親	NOUN
也	ADV
來幫	ADV
忙	VERB
了	PART
。	PUNCT
羅漢	PROPN
就	ADV
塑得	NOUN
比	ADP
孩子	NOUN
們	PRON
高	VERB
得	PART
多	VERB
，	PUNCT
雖然	SCONJ
不	ADV
過	ADV
是	VERB
上	NOUN
小	VERB
下	VERB
大	VERB
的	PART
一	NUM
堆	NUM
，	PUNCT
終於	ADV
分	VERB

	SPACE
不	ADV
清	VERB
是	VERB
壺盧還	NOUN
是	VERB
羅漢	NOUN
，	PUNCT
然而	ADV
很	ADV
潔白	VERB
，	PUNCT
很	ADV
明艷	VERB
，	PUNCT
以	ADP
自身	PRON
的	PART
滋潤	NOUN
相	ADV
粘結	VERB
，	PUNCT
整個	VERB
地	PART
閃閃	VERB
地	PART
生光	VERB

	SPACE
。	PUNCT
孩子	NOUN
們用	ADP
龍眼	NOUN
核給	NOUN
他	PRON
做	VERB
眼珠	NOUN
，	PUNCT
又	ADV
從誰	VERB
的	PART
母親	NOUN
的	PART
脂粉奩	NOUN
中	PART
偷	VERB
得	PART
胭脂	NOUN
來塗	VERB
在	ADP
嘴唇	NOUN
上	PART
。	PUNCT
這回	PRON

	SPACE
確	ADV
是	VERB
一	NUM
個	NUM
大	ADJ
阿羅	NOUN
漢	NOUN
了	PART
。	PUNCT
他	PRON
也	ADV
就	ADV
目光	NOUN
灼灼	VERB
地	PART
嘴唇	NOUN
通紅	VERB
地	PART
坐	VERB
在	ADP
雪地	NOUN
堙C	PUNCT


	SPACE
第二	NUM
天	NUM
還	ADV
有	VERB
幾個	NUM
孩子	NOUN
來訪	VERB
問	VERB
他	PRON
；	PUNCT
對	VERB
了	PART
他	PRON
拍手	VERB
，	PUNCT
點頭	VERB
，	PUNCT
嘻笑	VERB
。	PUNCT
但	ADV
他	PRON
終於	ADV
獨自	ADV
坐著	VERB
了	PART
。	PUNCT
晴天	NOUN

	SPACE
又	ADV
來	VERB
消釋	VERB
他	PRON
的	PART
皮膚	NOUN
，	PUNCT
寒夜	NOUN
又	ADV
使	VERB
他	PRON
結	VERB
一	NUM
層冰	NUM
，	PUNCT
化作	VERB
不	ADV
透明	VERB
的	PART
